SaO2sup Pa_CO2 P_a Vmca_d TOI_d HbT_d CCO_d
0.98516 51.798 79.643 51.536 59.187 -0.015028 0.059374
0.98485 51.851 80.249 51.28 59.228 -0.014711 0.058755
0.98462 51.897 80.823 51.034 59.28 -0.02261 0.058543
0.98446 51.936 81.341 50.809 59.343 -0.038221 0.058891
0.9844 51.967 81.78 50.616 59.413 -0.06099 0.059971
0.98443 51.987 82.125 50.47 59.488 -0.090322 0.061951
0.98456 51.997 82.367 50.384 59.567 -0.12558 0.064979
0.98477 51.995 82.504 50.369 59.647 -0.16609 0.069161
0.98506 51.982 82.54 50.436 59.726 -0.21112 0.074544
0.98542 51.958 82.488 50.59 59.803 -0.25987 0.081098
0.98582 51.924 82.366 50.834 59.876 -0.31148 0.088715
0.98625 51.881 82.195 51.166 59.946 -0.36503 0.097204
0.98666 51.831 82.002 51.578 60.011 -0.41957 0.1063
0.98704 51.777 81.812 52.059 60.073 -0.47412 0.11566
0.98735 51.722 81.647 52.594 60.131 -0.52774 0.12493
0.98755 51.667 81.525 53.165 60.187 -0.57954 0.1337
0.98761 51.616 81.459 53.754 60.242 -0.62876 0.14158
0.98752 51.57 81.451 54.339 60.299 -0.67476 0.14821
0.98725 51.532 81.498 54.903 60.357 -0.71709 0.15329
0.9868 51.504 81.587 55.429 60.419 -0.7555 0.15657
0.98617 51.485 81.703 55.904 60.484 -0.7899 0.15791
0.98537 51.477 81.826 56.319 60.554 -0.8204 0.15724
0.98444 51.48 81.936 56.669 60.626 -0.84727 0.15462
0.98341 51.494 82.016 56.955 60.7 -0.87087 0.15016
0.98233 51.517 82.053 57.181 60.773 -0.89163 0.14407
0.98124 51.549 82.04 57.355 60.841 -0.90999 0.13662
0.98022 51.588 81.976 57.489 60.903 -0.92636 0.12813
0.97931 51.633 81.865 57.595 60.953 -0.94104 0.11894
0.97857 51.683 81.716 57.686 60.989 -0.95426 0.10938
0.97802 51.735 81.54 57.775 61.008 -0.96608 0.099775
0.9777 51.787 81.35 57.873 61.007 -0.97643 0.090423
0.97761 51.839 81.158 57.987 60.986 -0.9851 0.081571
0.97775 51.887 80.973 58.123 60.944 -0.99175 0.073417
0.9781 51.931 80.801 58.28 60.882 -0.99597 0.066103
0.97861 51.969 80.648 58.457 60.803 -0.99723 0.059719
0.97925 51.999 80.513 58.645 60.709 -0.99503 0.054309
0.97997 52.02 80.399 58.837 60.605 -0.98883 0.049874
0.98073 52.032 80.303 59.019 60.494 -0.97817 0.046391
0.98148 52.033 80.226 59.18 60.381 -0.96263 0.043819
0.98219 52.023 80.168 59.307 60.271 -0.94196 0.042109
0.98284 52.002 80.131 59.387 60.169 -0.91601 0.041219
0.98341 51.971 80.116 59.412 60.078 -0.88484 0.041121
0.98389 51.929 80.127 59.372 60.002 -0.84871 0.0418
0.98428 51.877 80.162 59.266 59.945 -0.80808 0.043263
0.98458 51.818 80.222 59.093 59.908 -0.76369 0.045533
0.98478 51.752 80.3 58.857 59.893 -0.71651 0.048644
0.98491 51.681 80.39 58.565 59.9 -0.66775 0.052635
0.98495 51.607 80.478 58.23 59.928 -0.61884 0.057538
0.98493 51.533 80.55 57.863 59.976 -0.57142 0.063369
